seed,method,p_at_10,r_at_10,average_precision,reciprocal_rank
65,Unweighted process-aware,0.7,0.5833333333333334,0.8057635002756954,1.0
65,Full CAD,0.6,0.5,0.7543576751242655,1.0
66,Static fragility,0.6,0.5,0.762227845683728,1.0
66,Frequency only,0.4,0.3333333333333333,0.4425616667283334,0.3333333333333333
66,Unweighted process-aware,0.6,0.5,0.5508383226584982,0.5
66,Full CAD,1.0,0.8333333333333334,0.9685457516339869,1.0
67,Static fragility,0.6,0.5,0.5378232878232878,0.3333333333333333
67,Frequency only,0.5,0.4166666666666667,0.3729644886373474,0.5
67,Unweighted process-aware,0.9,0.75,0.8279278591778593,1.0
67,Full CAD,0.9,0.75,0.9393790849673204,1.0
68,Static fragility,0.7,0.5833333333333334,0.5345667219719163,0.5
68,Frequency only,0.5,0.4166666666666667,0.3775941182669771,0.5
68,Unweighted process-aware,0.5,0.4166666666666667,0.508564959853337,0.5
68,Full CAD,1.0,0.8333333333333334,0.876388888888889,1.0
69,Static fragility,0.6,0.5,0.5946677913589679,0.5
69,Frequency only,0.5,0.4166666666666667,0.36840099657385533,0.5
69,Unweighted process-aware,0.6,0.5,0.6813284787905282,1.0
69,Full CAD,0.9,0.75,0.9056277056277056,1.0
70,Static fragility,0.5,0.4166666666666667,0.479466129700552,0.3333333333333333
70,Frequency only,0.4,0.3333333333333333,0.3004307236693719,0.5
70,Unweighted process-aware,0.5,0.4166666666666667,0.5090601981533354,0.5
70,Full CAD,0.9,0.75,0.8989112739112738,1.0
71,Static fragility,0.5,0.4166666666666667,0.2880769224997813,0.25
71,Frequency only,0.6,0.5,0.41361619803905686,0.5
71,Unweighted process-aware,0.7,0.5833333333333334,0.5865356908313564,0.5
71,Full CAD,0.9,0.75,0.8976715686274509,1.0
