method,p_at_10,p_at_10_ci_low,p_at_10_ci_high,r_at_10,r_at_10_ci_low,r_at_10_ci_high,map,map_ci_low,map_ci_high,mrr,cliffs_delta,cliffs_delta_label
Static fragility,0.6000000000000001,0.6,0.6,0.5,0.5,0.5,0.5521689584924877,0.5521689584924879,0.5521689584924879,0.5,1.0,large
Frequency only,0.48999999999999994,0.4600000000000001,0.51,0.40833333333333327,0.38611111111111107,0.4277777777777777,0.5278892569550686,0.511551528465332,0.5428347519890577,0.95,1.0,large
Unweighted process-aware,0.6766666666666665,0.6566666666666666,0.6933333333333332,0.5638888888888889,0.5472222222222223,0.5777777777777777,0.8080878899045761,0.7931224481669914,0.8194204130067223,1.0,1.0,large
Full CAD,0.9866666666666667,0.97,0.9966666666666666,0.8222222222222221,0.8083333333333332,0.8305555555555554,0.9604650837517706,0.9478730054500419,0.9706127941089194,1.0,,reference
